h,dt,delta_dt,b,armed,wind_speed,humidity,vibration,action,anticipated_scenario,SAT
0.0,100.0,0.0,100.0,False,9.2,60.0,0.0,,,
0.0,100.0,0.0,96.0,True,9.1,60.5,0.52,takeoff_act,Takeoff,True
104.7,100.0,0.0,93.0,True,9.1,60.3,0.47,checkstatus_act,Checkstatus,True
104.1,100.0,0.0,88.0,True,9.0,61.0,0.54,manoeuvre_act,Flying,True
104.9,89.0,11.0,85.0,True,9.0,61.5,0.52,checkstatus_act,Checkstatus,True
103.8,89.0,0.0,81.0,True,8.9,61.5,0.52,manoeuvre_act,Flying,True
104.6,77.0,12.0,76.0,True,8.9,61.6,0.52,checkstatus_act,Checkstatus,True
105.0,77.0,0.0,73.0,True,8.8,61.6,0.52,manoeuvre_act,Flying,True
104.2,67.0,10.0,69.0,True,8.9,61.7,0.52,checkstatus_act,Checkstatus,True
103.5,67.0,0.0,66.0,True,8.9,61.7,0.52,manoeuvre_act,Flying,True
104.0,54.0,13.0,61.0,True,9.0,61.6,0.52,checkstatus_act,Checkstatus,True
104.8,54.0,0.0,57.0,True,9.1,61.6,0.52,manoeuvre_act,Flying,True
103.9,40.0,14.0,54.0,True,9.0,61.5,0.52,checkstatus_act,Checkstatus,True
104.4,40.0,0.0,50.0,True,8.9,61.3,0.51,manoeuvre_act,Flying,True
104.1,28.0,14.0,45.0,True,8.8,61.4,0.54,checkstatus_act,Checkstatus,True
103.2,28.0,0.0,42.0,True,8.8,61.6,0.54,manoeuvre_act,Flying,True
102.6,14.0,14.0,39.0,True,8.9,61.9,0.51,checkstatus_act,Checkstatus,True
101.9,14.0,0.0,34.0,True,9.0,62.2,0.54,manoeuvre_act,Flying,True
102.8,0.0,14.0,30.0,True,8.9,62.4,0.52,checkstatus_act,Checkstatus,True
102.1,0.0,0.0,27.0,True,8.8,61.7,0.53,land_act,Landing,True
0.0,0.0,0.0,23.0,True,8.9,60.6,0.53,shutdown_act,Shutdown,True
0.0,0.0,0.0,18.0,False,9.0,59.8,0.0,,,
