execution,t,h,dt,delta_dt,b,armed,wind_speed,humidity,vibration,action
1,0,0.0,67.0,0.0,100.0,False,10.0,60.0,0.0,-
1,1,0.0,67.0,0.0,100.0,True,10.1,60.5,0.52,takeoff_act (Takeoff)
1,2,107.2,67.0,0.0,90.0,True,9.8,60.3,0.47,checkstatus_act (Checkstatus)
1,3,104.3,67.0,0.0,89.0,True,9.1,61.0,0.54,manoeuvre_act (Flying)
1,4,105.9,28.0,39.0,80.0,True,9.1,61.5,0.52,checkstatus_act (Checkstatus)
1,4,104.9,28.0,39.0,78.0,True,9.0,61.1,0.51,manoeuvre_act (Flying)
1,5,105.1,0.0,28.0,60.0,True,8.6,61.4,0.54,checkstatus_act (Checkstatus)
1,5,102.1,0.0,28.0,58.0,True,8.1,62.4,0.53,land_act (Landing)
1,6,0.0,0.0,0.0,30.0,True,8.8,60.6,0.53,shutdown_act (Shutdown)
1,7,0.0,0.0,0.0,25.0,False,8.4,59.1,0.0,-
2,0,0.0,100.0,0.0,100.0,FALSE,9.2,60.0,0.0,-
2,1,0.0,100.0,0.0,96.0,TRUE,9.1,60.5,0.52,takeoff_act (Takeoff)
2,2,104.7,100.0,0.0,93.0,TRUE,9.1,60.3,0.47,checkstatus_act (Checkstatus)
2,3,104.1,100.0,0.0,88.0,TRUE,9.0,61.0,0.54,manoeuvre_act (Flying)
2,4,104.9,89.0,11.0,85.0,TRUE,9.0,61.5,0.52,checkstatus_act (Checkstatus)
2,5,103.8,89.0,0.0,81.0,TRUE,8.9,61.5,0.52,manoeuvre_act (Flying)
2,6,104.6,77.0,12.0,76.0,TRUE,8.9,61.6,0.52,checkstatus_act (Checkstatus)
2,7,105.0,77.0,0.0,73.0,TRUE,8.8,61.6,0.52,manoeuvre_act (Flying)
2,8,104.2,67.0,10.0,69.0,TRUE,8.9,61.7,0.52,checkstatus_act (Checkstatus)
2,9,103.5,67.0,0.0,66.0,TRUE,8.9,61.7,0.52,manoeuvre_act (Flying)
2,10,104.0,54.0,13.0,61.0,TRUE,9.0,61.6,0.52,checkstatus_act (Checkstatus)
2,11,104.8,54.0,0.0,57.0,TRUE,9.1,61.6,0.52,manoeuvre_act (Flying)
2,12,103.9,40.0,14.0,54.0,TRUE,9.0,61.5,0.52,checkstatus_act (Checkstatus)
2,13,104.4,40.0,0.0,50.0,TRUE,8.9,61.3,0.51,manoeuvre_act (Flying)
2,14,104.1,28.0,14.0,45.0,TRUE,8.8,61.4,0.54,checkstatus_act (Checkstatus)
2,15,103.2,28.0,0.0,42.0,TRUE,8.8,61.6,0.54,manoeuvre_act (Flying)
2,16,102.6,14.0,14.0,39.0,TRUE,8.9,61.9,0.51,checkstatus_act (Checkstatus)
2,17,101.9,14.0,0.0,34.0,TRUE,9.0,62.2,0.54,manoeuvre_act (Flying)
2,18,102.8,0.0,14.0,30.0,TRUE,8.9,62.4,0.52,checkstatus_act (Checkstatus)
2,19,102.1,0.0,0.0,27.0,TRUE,8.8,61.7,0.53,land_act (Landing)
2,20,0.0,0.0,0.0,23.0,TRUE,8.9,60.6,0.53,shutdown_act (Shutdown)
2,21,0.0,0.0,0.0,18.0,FALSE,9.0,59.8,0.0,-
3,0,0.0,100.0,0.0,100.0,FALSE,9.2,60.0,0.0,-
3,1,0.0,100.0,0.0,96.0,TRUE,9.1,60.5,0.52,takeoff_act (Takeoff)
3,2,104.7,100.0,0.0,93.0,TRUE,9.1,60.3,0.47,checkstatus_act (Checkstatus)
3,3,104.1,100.0,0.0,88.0,TRUE,9.0,61.0,0.54,manoeuvre_act (Flying)
3,4,104.9,89.0,11.0,85.0,TRUE,9.0,61.5,0.52,checkstatus_act (Checkstatus)
3,5,103.8,89.0,0.0,81.0,TRUE,8.9,61.5,0.52,manoeuvre_act (Flying)
3,6,104.6,77.0,12.0,76.0,TRUE,8.9,61.6,0.52,checkstatus_act (Checkstatus)
3,7,105.0,77.0,0.0,73.0,TRUE,8.8,61.6,0.72,manoeuvre_act (Flying)
3,8,63.2,67.0,10.0,69.0,TRUE,8.9,61.7,0.70,checkstatus_act (Checkstatus)
