DiagnosedScenario_name,CandidateScenario_name,grupo,index_grupo,index_inner_grupo,Candidate_given,c_linha,similarity
diagnosed,candidato_baixo_1_1,baixo,1,1,h < 40 AND vibration >= 14,40,0.630965
diagnosed,candidato_baixo_1_2,baixo,1,2,h < 40 AND vibration >= 14,40,0.61615
diagnosed,candidato_baixo_1_3,baixo,1,3,h < 40 AND vibration >= 32,40,0.6558033333333334
diagnosed,candidato_baixo_2_1,baixo,2,1,h < 36 AND vibration >= 23,36,0.5864966666666667
diagnosed,candidato_baixo_2_2,baixo,2,2,h < 52 AND vibration >= 24,52,0.5844583333333334
diagnosed,candidato_baixo_2_3,baixo,2,3,h < 36 AND vibration >= 16,36,0.5504116666666666
diagnosed,candidato_baixo_3_1,baixo,3,1,h < 44 AND vibration >= 56,44,0.7219533333333333
diagnosed,candidato_baixo_3_2,baixo,3,2,h < 42 AND vibration >= 61,42,0.7191299999999999
diagnosed,candidato_baixo_3_3,baixo,3,3,h < 26 AND vibration >= 53,26,0.6246866666666667
diagnosed,candidato_medio_1_1,medio,1,1,h < 25 AND vibration >= 48,25,0.6016966666666667
diagnosed,candidato_medio_1_2,medio,1,2,h < 3 AND vibration >= 33,3,0.543835
diagnosed,candidato_medio_1_3,medio,1,3,h < 51 AND vibration >= 32,51,0.625755
diagnosed,candidato_medio_2_1,medio,2,1,h < 29 AND vibration >= 53,29,0.67849
diagnosed,candidato_medio_2_2,medio,2,2,h < 100 AND vibration >= 6,100,0.6260116666666666
diagnosed,candidato_medio_2_3,medio,2,3,h < 27 AND vibration >= 30,27,0.58414
diagnosed,candidato_medio_3_1,medio,3,1,h < 33 AND vibration >= 76,33,0.66565
diagnosed,candidato_medio_3_2,medio,3,2,h < 49 AND vibration >= 68,49,0.7537066666666666
diagnosed,candidato_medio_3_3,medio,3,3,h < 33 AND vibration >= 97,33,0.4779183333333333
diagnosed,candidato_alto_1_1,alto,1,1,h < 16 AND vibration >= 57,16,0.5878566666666667
diagnosed,candidato_alto_1_2,alto,1,2,h < 40 AND vibration >= 27,40,0.5895383333333334
diagnosed,candidato_alto_1_3,alto,1,3,h < 96 AND vibration >= 28,96,0.5722316666666667
diagnosed,candidato_alto_2_1,alto,2,1,h < 47 AND vibration >= 63,47,0.7269233333333333
diagnosed,candidato_alto_2_2,alto,2,2,h < 40 AND vibration >= 26,40,0.6095633333333333
diagnosed,candidato_alto_2_3,alto,2,3,h < 5 AND vibration >= 48,5,0.6239450000000001
diagnosed,candidato_alto_3_1,alto,3,1,h < 86 AND vibration >= 80,86,0.62643
diagnosed,candidato_alto_3_2,alto,3,2,h < 32 AND vibration >= 18,32,0.6252783333333333
diagnosed,candidato_alto_3_3,alto,3,3,h < 60 AND vibration >= 53,60,0.711865
