similarity_result,diagnosed_name,diagnosed_given,diagnosed_then,candidate_name,candidate_given,candidate_then,elapsed_time,config
0.9130153174603174,diagnosed_baseline,h < 100 AND vibration >= 63,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.07590940000955015,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8366669841269841,diagnosed_baseline,h < 100 AND vibration >= 63,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.07850409997627139,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6286219841269841,diagnosed_baseline,h < 100 AND vibration >= 63,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.07279829995241016,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8296819841269841,diagnosed_vib_plus_25,h < 100 AND vibration >= 88,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.07062770007178187,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7771436507936507,diagnosed_vib_plus_25,h < 100 AND vibration >= 88,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.07438320002984256,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6002886507936508,diagnosed_vib_plus_25,h < 100 AND vibration >= 88,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.07555159996263683,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7896819841269842,diagnosed_vib_plus_50,h < 100 AND vibration >= 100,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.07898750004824251,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7485719841269841,diagnosed_vib_plus_50,h < 100 AND vibration >= 100,delta_dt >= 10 AND h >= 100,cand_limited_satellite_flying,h > 10 AND vibration >= 30,delta_dt >= 10 AND h >= 100 AND satellite_count >= 7,0.07559070002753288,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.6002886507936508,diagnosed_vib_plus_50,h < 100 AND vibration >= 100,delta_dt >= 10 AND h >= 100,cand_hover_mode_flying,h < 70 AND vibration <= 80,delta_dt >= 10 AND h <= 80 AND delta_flight_time < 60,0.06675200001336634,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.8820019841269842,diagnosed_h_minus_25_vib_minus_25,h < 75 AND vibration >= 38,delta_dt >= 10 AND h >= 100,cand_low_speed_flying,h < 100 AND vibration >= 50 AND wind_speed > 60,delta_dt >= 10 AND h >= 90,0.07891350006684661,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
