similarity_result,diagnosed_name,diagnosed_given,diagnosed_then,candidate_name,candidate_given,candidate_then,elapsed_time,config
1.0,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,0.1393699999898672,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.3333333333333333,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,1,p17 <= 60 AND p4 <= 40 AND p1 <= 50,p2 < 50 AND p1 >= 60 AND p4 > 65 AND p13 >= 40 AND p18 <= 65,0.10799070002394728,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.5856860522875816,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,2,p1 <= 40 AND p2 >= 55 AND p3 >= 50 AND p4 <= 60 AND p5 <= 50,p10 >= 55 AND p16 > 60 AND p6 < 65 AND p7 <= 50 AND p8 <= 40 AND p9 > 40,0.20438529999228194,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7228273333333334,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,3,p1 > 40 AND p2 >= 55 AND p3 > 40 AND p4 <= 45 AND p5 > 40,p10 >= 65 AND p6 >= 40 AND p7 <= 50 AND p8 >= 45 AND p9 < 40,0.19308580001234077,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.39999999999999997,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,4,p4 < 60 AND p8 > 55 AND p1 >= 50 AND p14 <= 40,p14 > 65 AND p17 <= 60 AND p1 > 40 AND p6 >= 50 AND p13 > 60,0.097372100019129,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.5566666666666666,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,5,p1 < 40 AND p2 > 55 AND p3 < 60 AND p4 > 60 AND p5 < 45,p10 > 65 AND p6 <= 65 AND p7 < 40 AND p8 > 65 AND p9 < 45,0.16280920000281185,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.43092676470588237,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,6,p9 < 65 AND p20 < 50 AND p2 >= 45 AND p16 >= 60 AND p4 > 65 AND p19 > 60,p3 < 65 AND p16 < 40 AND p8 >= 55 AND p18 >= 45 AND p15 > 50 AND p12 > 50,0.22384890000103042,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7833333333333333,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,7,p1 >= 50 AND p16 >= 55 AND p2 >= 50 AND p3 >= 60 AND p4 >= 55,p10 >= 55 AND p14 >= 50 AND p6 >= 60 AND p8 >= 60 AND p9 >= 60,0.12024230000679381,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.36838947712418296,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,8,p14 <= 50 AND p4 < 65 AND p19 < 60 AND p2 <= 45 AND p12 < 40 AND p3 >= 55 AND p16 > 65,p12 > 45 AND p17 >= 65 AND p19 >= 65 AND p7 >= 45 AND p18 <= 65 AND p20 <= 60,0.2430177999776788,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
0.7518173333333333,diagnosed_baseline,p1 >= 50 AND p2 >= 50 AND p3 >= 50 AND p4 >= 50 AND p5 >= 50,p6 >= 50 AND p7 >= 50 AND p8 >= 50 AND p9 >= 50 AND p10 >= 50,9,p1 >= 45 AND p2 < 65 AND p3 >= 55 AND p4 >= 40 AND p5 >= 45,p10 < 45 AND p6 <= 50 AND p7 >= 40 AND p8 >= 45 AND p9 >= 40,0.1160000000090804,"{'parameter_weights': {'parameter_1': 1.0, 'parameter_n': 1.0}, 'tversky_weights': {'alpha': 0.9, 'beta': 0.1}, 'conditional_weights': {'given': 1.0, 'when': 1.0, 'then': 1.0}}"
