h,dt,delta_dt,b,armed,wind_speed,humidity,vibration,action
0.0,67.0,0.0,100.0,False,10.0,60.0,0,-
0.0,67.0,0.0,100.0,True,10.1,60.5,52,takeoff_act (Takeoff)
107.2,67.0,0.0,90.0,True,9.8,60.3,47,checkstatus_act (Checkstatus)
104.3,67.0,0.0,89.0,True,9.1,61.0,54,manoeuvre_act (Flying)
105.9,28.0,39.0,80.0,True,9.1,61.5,52,checkstatus_act (Checkstatus)
104.9,28.0,39.0,78.0,True,9.0,61.1,51,manoeuvre_act (Flying)
105.1,0.0,28.0,60.0,True,8.6,61.4,54,checkstatus_act (Checkstatus)
102.1,0.0,28.0,58.0,True,8.1,62.4,53,land_act (Landing)
0.0,0.0,0.0,30.0,True,8.8,60.6,53,shutdown_act (Shutdown)
0.0,0.0,0.0,25.0,False,8.4,59.1,0,-
