desired_identifier,cadidate_identifier,desired_given_exp,candidate_given_exp,Penality Given,Global Similarity Given,Final Similarity Given,desired_then_exp,candidate_then_exp,Penality Then,Global Similarity Then,Final Similarity Then,Scenario Similarity,desired_given_vars,candidate_given_vars,desired_then_vars,candidate_then_vars,intersection_given_vars,intersection_then_vars,given_plus,given_less,then_plus,then_less,#given_plus,#given_less,#then_plus,#then_less,tipo_de_erro,tipo_de_erro_num,tipo_de_erro_jittered
Desired_1,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,battery,"battery, satellite_count, wind_speed",height,"height, source_distance",battery,height,,"satellite_count, wind_speed",,source_distance,0,2,0,1,Missing,0,-0.07239462328674665
Desired_2,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,battery,"battery, satellite_count, wind_speed",source_distance,"height, source_distance",battery,source_distance,,"satellite_count, wind_speed",,height,0,2,0,1,Missing,0,0.08973275574585529
Desired_3,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,battery,"battery, satellite_count, wind_speed",a,"height, source_distance",battery,,,"satellite_count, wind_speed",a,"source_distance, height",0,2,1,2,Combined,1,1.0461910077705694
Desired_4,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,battery,"battery, satellite_count, wind_speed",b,"height, source_distance",battery,,,"satellite_count, wind_speed",b,"source_distance, height",0,2,1,2,Combined,1,0.992593839755248
Desired_5,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0,height >= 30 AND source_distance == 0,0.0,1.0,1.0,0.944,battery,"battery, satellite_count, wind_speed","height, source_distance","height, source_distance",battery,"source_distance, height",,"satellite_count, wind_speed",,,0,2,0,0,Missing,0,0.05018684508673177
Desired_6,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,battery,"battery, satellite_count, wind_speed","height, a","height, source_distance",battery,height,,"satellite_count, wind_speed",a,source_distance,0,2,1,1,Combined,1,0.9466784133881266
Desired_7,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,battery,"battery, satellite_count, wind_speed","height, b","height, source_distance",battery,height,,"satellite_count, wind_speed",b,source_distance,0,2,1,1,Combined,1,0.9741632748363988
Desired_8,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,battery,"battery, satellite_count, wind_speed","source_distance, a","height, source_distance",battery,source_distance,,"satellite_count, wind_speed",a,height,0,2,1,1,Combined,1,1.0039588163779798
Desired_9,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,battery,"battery, satellite_count, wind_speed","source_distance, b","height, source_distance",battery,source_distance,,"satellite_count, wind_speed",b,height,0,2,1,1,Combined,1,0.9329659075064283
Desired_10,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10 AND b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,battery,"battery, satellite_count, wind_speed","a, b","height, source_distance",battery,,,"satellite_count, wind_speed","a, b","source_distance, height",0,2,2,2,Combined,1,1.0903352749715547
