desired_scenario;cadidate_scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
desired_1;Candidate_1;battery >= 10;battery >= 10;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;1.0;behavior_1
desired_1;Candidate_12;battery >= 10;battery >= 10 AND satellite_count >= 7;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_12
desired_1;Candidate_21;battery >= 10;battery >= 10 AND e > 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_21
desired_1;Candidate_20;battery >= 10;battery >= 10 AND d > 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_20
desired_1;Candidate_19;battery >= 10;battery >= 10 AND c > 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_19
desired_1;Candidate_18;battery >= 10;battery >= 10 AND b > 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_18
desired_1;Candidate_16;battery >= 10;battery >= 10 AND vibration <= 50;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_16
desired_1;Candidate_15;battery >= 10;battery >= 10 AND temperature <= 25;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_15
desired_1;Candidate_14;battery >= 10;battery >= 10 AND visibility >= 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_14
desired_1;Candidate_13;battery >= 10;battery >= 10 AND wind_speed <= 36;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_13
desired_1;Candidate_17;battery >= 10;battery >= 10 AND a > 10;0.09090909090909094;1.0;0.9090909090909091;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9696969696969697;behavior_17
desired_1;Candidate_77;battery >= 10;battery >= 10 AND wind_speed <= 36 AND temperature <= 25;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_77
desired_1;Candidate_79;battery >= 10;battery >= 10 AND wind_speed <= 36 AND a > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_79
desired_1;Candidate_87;battery >= 10;battery >= 10 AND visibility >= 10 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_87
desired_1;Candidate_86;battery >= 10;battery >= 10 AND visibility >= 10 AND a > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_86
desired_1;Candidate_85;battery >= 10;battery >= 10 AND visibility >= 10 AND vibration <= 50;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_85
desired_1;Candidate_84;battery >= 10;battery >= 10 AND visibility >= 10 AND temperature <= 25;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_84
desired_1;Candidate_83;battery >= 10;battery >= 10 AND wind_speed <= 36 AND e > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_83
desired_1;Candidate_82;battery >= 10;battery >= 10 AND wind_speed <= 36 AND d > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_82
desired_1;Candidate_81;battery >= 10;battery >= 10 AND wind_speed <= 36 AND c > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_81
desired_1;Candidate_80;battery >= 10;battery >= 10 AND wind_speed <= 36 AND b > 10;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9444444444444445;behavior_80
