Scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Candidate_230;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;1.0;behavior_230
Candidate_380;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.989247311827957;behavior_380
Candidate_395;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND b > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.989247311827957;behavior_395
Candidate_236;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND a > 10;0.04761904761904767;1.0;0.9523809523809523;0.9841269841269842;behavior_236
Candidate_237;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND b > 10;0.04761904761904767;1.0;0.9523809523809523;0.9841269841269842;behavior_237
Candidate_455;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10 AND b > 10;0.0625;1.0;0.9375;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.9791666666666666;behavior_455
Candidate_386;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND a > 10;0.04761904761904767;1.0;0.9523809523809523;0.9733742959549412;behavior_386
Candidate_387;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND b > 10;0.04761904761904767;1.0;0.9523809523809523;0.9733742959549412;behavior_387
Candidate_401;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND b > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND a > 10;0.04761904761904767;1.0;0.9523809523809523;0.9733742959549412;behavior_401
Candidate_402;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND b > 10;0.032258064516129115;1.0;0.9677419354838709;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND b > 10;0.04761904761904767;1.0;0.9523809523809523;0.9733742959549412;behavior_402
Candidate_240;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.0;1.0;1.0;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND a > 10 AND b > 10;0.09090909090909094;1.0;0.9090909090909091;0.9696969696969697;behavior_240
Candidate_461;battery > 10 AND satellite_count > 7 AND wind_speed <= 36;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36 AND a > 10 AND b > 10;0.0625;1.0;0.9375;takeoff == 1;takeoff == 1;0.0;1.0;1.0;height > 30 AND source_distance == 0;height >= 30 AND source_distance == 0 AND a > 10;0.04761904761904767;1.0;0.9523809523809523;0.9632936507936508;behavior_461
