desired_scenario;cadidate_scenario;Desired Given DNF;Shared Given DNF;Penality Given;Global Similarity Given;Final Similarity Given;Desired When DNF;Shared When DNF;Penality When;Global Similarity When;Final Similarity When;Desired Then DNF;Shared Then DNF;Penality Then;Global Similarity Then;Final Similarity Then;Scenario Similarity;Action
Candidate_1;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30;height >= 30 AND source_distance == 0;0.09090909090909094;1.0;0.9090909090909091;0.2474747474747475;behavior_1
Candidate_2;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0;height >= 30 AND source_distance == 0;0.09090909090909094;1.0;0.9090909090909091;0.2474747474747475;behavior_1
Candidate_3;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;a2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_4;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;b2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_5;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;c2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_6;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;d2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_7;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;e2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_8;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND source_distance == 0;height >= 30 AND source_distance == 0;0.0;1.0;1.0;0.2777777777777778;behavior_1
Candidate_9;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND a2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_10;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND b2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_11;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND c2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_12;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND d2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_13;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;height >= 30 AND e2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_14;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0 AND a2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_15;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0 AND b2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_16;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0 AND c2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_17;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0 AND d2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_18;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;source_distance == 0 AND e2 > 10;height >= 30 AND source_distance == 0;0.5;1.0;0.5;0.11111111111111112;behavior_1
Candidate_19;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;a2 > 10 AND b2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_20;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;a2 > 10 AND c2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
Candidate_21;desired_1;battery >= 10;battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36;0.16666666666666663;1.0;0.8333333333333334;takeoff == 1;b > 10 AND dt > 0;1.0;0;-1.0;a2 > 10 AND d2 > 10;height >= 30 AND source_distance == 0;1.0;0.0;-1.0;-0.38888888888888884;behavior_1
