#given_plus;#given_less;#then_plus;#then_less;Scenario Similarity
0;0;0;0;1.0
0;1;0;0;0.984
0;1;0;0;0.984
0;1;0;0;0.984
0;0;0;1;0.97
0;0;0;1;0.97
0;1;0;1;0.954
0;1;0;1;0.954
0;1;0;1;0.954
0;1;0;1;0.954
0;1;0;1;0.954
0;1;0;1;0.954
0;2;0;0;0.944
0;2;0;0;0.944
0;2;0;0;0.944
1;0;0;0;0.923
1;0;0;0;0.923
0;2;0;1;0.914
0;2;0;1;0.914
0;2;0;1;0.914
0;2;0;1;0.914
0;2;0;1;0.914
0;2;0;1;0.914
0;0;1;0;0.897
0;0;1;0;0.897
1;0;0;1;0.893
1;0;0;1;0.893
1;0;0;1;0.893
1;0;0;1;0.893
1;1;0;0;0.889
1;1;0;0;0.889
1;1;0;0;0.889
1;1;0;0;0.889
1;1;0;0;0.889
1;1;0;0;0.889
0;1;1;0;0.881
0;1;1;0;0.881
0;1;1;0;0.881
0;1;1;0;0.881
0;1;1;0;0.881
0;1;1;0;0.881
2;0;0;0;0.875
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
1;1;0;1;0.859
2;0;0;1;0.845
2;0;0;1;0.845
0;0;2;0;0.842
0;2;1;0;0.841
0;2;1;0;0.841
0;2;1;0;0.841
0;2;1;0;0.841
0;2;1;0;0.841
0;2;1;0;0.841
2;1;0;0;0.838
2;1;0;0;0.838
2;1;0;0;0.838
0;0;1;1;0.833
0;0;1;1;0.833
0;0;1;1;0.833
0;0;1;1;0.833
0;1;2;0;0.826
0;1;2;0;0.826
0;1;2;0;0.826
1;2;0;0;0.825
1;2;0;0;0.825
1;2;0;0;0.825
1;2;0;0;0.825
1;2;0;0;0.825
1;2;0;0;0.825
1;0;1;0;0.82
1;0;1;0;0.82
1;0;1;0;0.82
1;0;1;0;0.82
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
0;1;1;1;0.817
2;1;0;1;0.807
2;1;0;1;0.807
2;1;0;1;0.807
2;1;0;1;0.807
2;1;0;1;0.807
2;1;0;1;0.807
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
1;2;0;1;0.795
0;2;2;0;0.787
0;2;2;0;0.787
0;2;2;0;0.787
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
1;1;1;0;0.785
0;0;2;1;0.782
0;0;2;1;0.782
0;2;1;1;0.778
0;2;1;1;0.778
2;2;0;0;0.778
0;2;1;1;0.778
0;2;1;1;0.778
2;2;0;0;0.778
0;2;1;1;0.778
0;2;1;1;0.778
0;2;1;1;0.778
0;2;1;1;0.778
0;2;1;1;0.778
0;2;1;1;0.778
0;2;1;1;0.778
2;2;0;0;0.778
0;2;1;1;0.778
2;0;1;0;0.772
2;0;1;0;0.772
0;1;2;1;0.766
0;1;2;1;0.766
0;1;2;1;0.766
0;1;2;1;0.766
0;1;2;1;0.766
0;1;2;1;0.766
1;0;2;0;0.765
1;0;2;0;0.765
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
1;0;1;1;0.756
2;2;0;1;0.747
2;2;0;1;0.747
2;2;0;1;0.747
2;2;0;1;0.747
2;2;0;1;0.747
2;2;0;1;0.747
2;1;1;0;0.734
